Subject	Upload Time	Criterion	Value
7c093972a67e18a5ec338a57a87dd7c4	1482775401	Native Speaker	yes
06ece1aa059f83604da235918c9a5b4b	1482778137	Native Speaker	yes
3790eb250952122432b6063dbd92ad05	1482811247	Native Speaker	yes
4800dee3b88fcf4b43757b4e706f4a99	1482719106	Native Speaker	yes
72e02174e0a3572751598f8dbc9460ab	1482632767	Native Speaker	yes
b582d7d6b75611196db85c5959eeb4ac	1482799357	Native Speaker	yes
0757c9436b775869dd886ab7971f825c	1482725568	Native Speaker	yes
66854b6a4cfc4611fb56f3c307fbca6f	1482759997	Native Speaker	yes
beed86d44baca20841309b7c042a46d3	1482721613	Native Speaker	yes
1d0baf46db44067b93f47924dae252b1	1482763273	Native Speaker	yes
b2b330eed683aeaad4d5f7b1ad58e318	1482657225	Native Speaker	yes
f7e1f53ce2cd9c52458a060ef24535e3	1482803453	Native Speaker	yes
cede2a7801f1b93d65a7f3d426680bfe	1482798250	Native Speaker	yes
44041a968d86106ac1b12a8f740bd277	1482739525	Native Speaker	yes
e971c97c0de81ea54882a103446a7451	1482700787	Native Speaker	yes
e7c4a72cbafdafbc330243789df68da4	1482801311	Native Speaker	yes
e6b0da71c06ea22af815f751eaee07fc	1482800171	Native Speaker	yes
4edd80cb77f43a67693f0e5e5df2fa83	1482784578	Native Speaker	yes
f08536f2c33432ac5e100e92be38a9da	1482701085	Native Speaker	yes
5c841ef0df090ca0c1183b60ad0e2960	1482812134	Native Speaker	yes
41a06303b8b80fe32da550e4aaaf6a96	1482646012	Native Speaker	yes
57ff90ed39998caecc4ead25796603a6	1482811519	Native Speaker	yes
23bf8a2a772a9acd9fdbb86c438a52f2	1482798638	Native Speaker	yes
6d6c76f2533944e76bfdf6dd91837398	1482783373	Native Speaker	yes
faf7f31f225ee0baf5edc5688e6ae1bc	1482804882	Native Speaker	yes
d886151a2a1c56a0d601be5741c83075	1482795707	Native Speaker	yes
77ecd130dfbecd16e1e03d7b376c4a52	1482790670	Native Speaker	yes
7d0637b1f5ab27c0ecbb763572eef9a0	1482789617	Native Speaker	no
22c63fbf8cc19fd87aaa0466b6e2d0f2	1482720179	Native Speaker	yes
8e5bd65dba72c67b091036d7b948e5d3	1482791315	Native Speaker	yes
3959d69691f526e52c905774e6d5b830	1482647002	Native Speaker	yes
6943c90158403c6acaa89699b0d50aa0	1482795471	Native Speaker	yes
aa1f6ee01e325796e970ddfa477665b5	1482673391	Native Speaker	yes
1fe84b07aaba149e9fd4a3a47a13d12e	1482746540	Native Speaker	yes
64fc0809b9ef251b284ae62ad943d467	1482798775	Native Speaker	yes
c0c3fcb4ff5cfab3ac3fd4b228dbbb20	1482627925	Native Speaker	yes
54cee9fc5b00649df64e4918f452ea86	1482790492	Native Speaker	yes
e51e758c51bcc8b5a76372c84b4b7521	1482683071	Native Speaker	yes
7d54685b0987c9438c9bc65693714b07	1482700150	Native Speaker	yes
4a0e4105221aee16c62c7705da4b6dc6	1482809944	Native Speaker	yes
2a74dd64b6d429c5e75bd4ab32e93c3d	1482797716	Native Speaker	yes
2e79d297770e5ac24e806ea05eb460a7	1482797471	Native Speaker	yes
76ccf546dff3eb7a8c5ffb1de1837ea5	1482674546	Native Speaker	yes
400ab90866ba0405e49e45e30cb8502b	1482738621	Native Speaker	yes
0e3ded8698ad58baa9a55f995811d815	1482777453	Native Speaker	yes
62f02837f1c744f14c2c64ece8ec55b0	1482783494	Native Speaker	yes
5be4512d70e0869bca92606dd1beaf3f	1482780634	Native Speaker	yes
8912b037d79bb5278b4274b2107f9f9d	1482789494	Native Speaker	yes
3721c548a8da1437410c0eed5b936262	1482788213	Native Speaker	yes
2ddc8ec510d5a1ec6af1dcc4c5552073	1482811392	Native Speaker	yes
f8d65e23328fe8ba0abfcaf9aabb4363	1482794744	Native Speaker	yes
a1d6318a720a1729c96b018ad651d4d7	1482807407	Native Speaker	yes
450a48a0bf2b849742f0ffab50bddfb9	1482806029	Native Speaker	yes
a1694b9c3bd05f9515573495d31d91a9	1482763952	Native Speaker	yes
497a2b996c3787b2db46ee77979c7fbb	1482792603	Native Speaker	yes
d26c9dc474bc4d429de73b15455fcb23	1482738659	Native Speaker	yes
2e1996bf512285b678767191fec23d37	1482705199	Native Speaker	yes
31d7dfe7aea061c213069837e91f56e2	1482695600	Native Speaker	yes
a5ba25552b47d040a2d2302e741fdfb1	1482759532	Native Speaker	yes
0e16c600ee2a8709e68d00fc6c5573b5	1482796370	Native Speaker	yes
f0e71d6e57c194575d816c796a533471	1482781308	Native Speaker	yes
c907b987fcf7ddd8a4c99ae9c57578ad	1482778995	Native Speaker	yes
c2c436a24315578b60525744c3e59476	1482790493	Native Speaker	yes
b7a53ddfbb8840ef0000cdb93dd47758	1482629703	Native Speaker	yes
002d840bfaf41828b6570dc0d1efc70f	1482806374	Native Speaker	yes
ad5df40678bbf8980cd3e3bfc0e077b6	1482794407	Native Speaker	yes
fc2a7c4c23123fa52daf3f2fbb795d8f	1482793093	Native Speaker	yes
b6ef9e6bcf94e90b519765419b74e10a	1482751003	Native Speaker	yes
91fab8b02a10287789023cf8e2b2597c	1482797800	Native Speaker	yes
31e4f11e0462d4548c20fef7c5639023	1482794124	Native Speaker	yes
3b60fca5105d7ed366daac280ce88c14	1482796446	Native Speaker	yes
5e291d76efed4d6055d13af811e08517	1482806360	Native Speaker	yes
8d951833e4eaf64afed229256c13246e	1482791958	Native Speaker	yes
fe776af8095bc33a6aff1bdb8e4a053c	1482801941	Native Speaker	no
eeee0cddd81440e05de399d1ab4c55e0	1482789133	Native Speaker	yes
d9768baf3ccd6c33238d88d58b7b1910	1482779062	Native Speaker	yes
00fcc785e1cf2eb00c23a281849c6632	1482799893	Native Speaker	yes
1528a1392508d574d77bc053f6e0ec57	1482797450	Native Speaker	yes
0a854d7ef6a63de00c7e9c41d9c2ff1b	1482724025	Native Speaker	yes
8ff6647a9b5cbb153524273682838984	1482792130	Native Speaker	yes
3dd6aafc058125d5ca3bfb92bb01f204	1482775631	Native Speaker	yes
3f2a58ad555bfa8302d5ec2d342a629b	1482689399	Native Speaker	yes
0d82a14d3cc6f71cd47f875e5ded15d7	1482798576	Native Speaker	yes
f9f2fa4ede2d448ad512f3c6c22780e0	1482813052	Native Speaker	yes
31a22b8ce994edbcc2daa226481a3780	1482789517	Native Speaker	yes
1535575c05778b6823b599a2c9f8f768	1482776627	Native Speaker	yes
da38627ce9f811c0ab08d970c40ea83a	1482804073	Native Speaker	yes
b7e0c9e4081670d35d59159afb144ad6	1482785378	Native Speaker	yes
4ecec8ccbe2b4e933571389a499c532a	1482710821	Native Speaker	yes
d7b56d1299e67c65b0058ce40dab46f2	1482729107	Native Speaker	yes
697e1e40725b2526b33e208432584ca1	1482812440	Native Speaker	yes
a1e64bd1c5f30244bee2d57006d05c76	1482705322	Native Speaker	yes
c61a136c3cb8adc154c48e5758eb4bb2	1482681588	Native Speaker	yes
206f259b69439e595412b61d33443d94	1482743443	Native Speaker	yes
e92798a4e404ecd7aa8338bbd5e4f0d5	1482789515	Native Speaker	yes
8725ab39391078c4c539ab7fecb44d51	1482723138	Native Speaker	yes
840cf04b64299e656008b69ffb874819	1482710365	Native Speaker	yes
49961059399a2c1baa0bc3cc2cd691ba	1482804400	Native Speaker	yes
16c2c66b3667acfab17188f103e80833	1482799721	Native Speaker	yes
69bcf5481d93bfc639b3f391dacdb82b	1482794088	Native Speaker	yes
126baca57f1e43846ee97e055089b98f	1482795070	Native Speaker	yes
26b846f252a3e4570fd3e4912da31059	1482801471	Native Speaker	yes
a4fbbb7fe535fa9c4be53668a2bb8337	1482807227	Native Speaker	yes
7a0baaf452f615d499e7a5bb866784ec	1482795001	Native Speaker	yes
50d2ee6a3af9b2c19323ccfdf30ffd1a	1482738586	Native Speaker	yes
472b524dcc37ec8cf6e2d7ff6ba42726	1482795960	Native Speaker	yes
980622d0db75617ed2eda855b94cdd22	1482806091	Native Speaker	yes
3c82d193e2c1b9222f3539695c7df0e3	1482803351	Native Speaker	yes
2b2b2c575b0b3108960e3fa98832417d	1482680981	Native Speaker	yes
79a0745300942def122fa44dc013f091	1482798023	Native Speaker	yes
b85088eaf86bfed0d56a52f4a16a00e1	1482705687	Native Speaker	yes
5e0d1efdea8c96235d623fc425d2cb0b	1482799757	Native Speaker	yes
3d8ba94dc587dd653b404f5ea2d63e36	1482669957	Native Speaker	yes
0b83c45c779d8c6233f94556039c8d8f	1482789803	Native Speaker	yes
c320627d1c451772d993ded0a8457bcd	1482640480	Native Speaker	yes
1c5040a98bafe36b13ac65102074d7de	1482798522	Native Speaker	yes
50313b8411fb83099ee3855edb26c060	1482810814	Native Speaker	yes
dc1b2077adb8ae7589271cf7960e60d9	1482792847	Native Speaker	yes
57cc9f995c76ec3396338e75c7f9afe2	1482726902	Native Speaker	yes
e3d777f13ef4665c74bc8c3e58d1e70c	1482803773	Native Speaker	yes
7f1c3ce1fa2e61b3d8cd46584746417a	1482770943	Native Speaker	yes
11fc016a79e69990580c262b78c2124d	1482778899	Native Speaker	yes
a10bf7735b247aabcb58e70ae82d9f8c	1482696834	Native Speaker	yes
88727e843e03204287f7ef8f3f209141	1482802815	Native Speaker	yes
0186c3364eb888f448332d91d9c95e34	1482803702	Native Speaker	yes
912886039adc88644c5c6fdec10d59ee	1482798701	Native Speaker	yes
9065035dbf30ea44120e16ad75b32414	1482729377	Native Speaker	yes
c4afccad2b2c7021d128318610d6aa69	1482795417	Native Speaker	yes
b097f932e2981dbd754f9423420100df	1482790666	Native Speaker	yes
1020e84d32b4fe4035b42505c6240683	1482789756	Native Speaker	yes
05bfbf7ca52ff05bcd605b0eb3669bb0	1482794644	Native Speaker	yes
c9f8e64e1c69592d91a81bbd3cb8efc4	1482789553	Native Speaker	yes
6fce237420dc11366854bc5805f75906	1482797731	Native Speaker	yes
654745f0cfe6c58829cfec5c55a4bfb2	1482650668	Native Speaker	yes
ef55981253aac13f44ee8878e86b7578	1482774854	Native Speaker	yes
35730d8b2a14c5e22263356cbdbc60f3	1482805959	Native Speaker	yes
